method,split,group,sampleCount,hazardScoreMedian,hazardScoreIqr,hazardScoreMinimum,hazardScoreMaximum,targetRate
quantile,train,Q1,84,0.15728539168581646,0.11527218006902364,0.03333079651829652,0.7622775419334726,0.03571428571428571
quantile,train,Q2,84,0.27539531509496773,0.1219411023354437,0.09043414751661454,0.8525585383480432,0.15476190476190477
quantile,train,Q3,83,0.34628589111001884,0.16186789564897858,0.1182030094274129,0.863734970306961,0.20481927710843373
quantile,train,Q4,84,0.3762101060395342,0.18752471249604846,0.1329056708470408,0.8580445824338344,0.20238095238095238
quantile,validation,Q1,35,0.22176358749015784,0.13887826549302693,0.04724239710452945,0.4115773423397266,0.11428571428571428
quantile,validation,Q2,14,0.2922078219602482,0.14708892434526838,0.18151085815093218,0.5223275209455895,0.21428571428571427
quantile,validation,Q3,8,0.3929511867364067,0.06689602851908638,0.32426507210172967,0.4875011985196297,0.0
quantile,validation,Q4,10,0.5171149619751905,0.0804466146815625,0.35811011828878575,0.596954300383619,0.3
cluster,train,C1,194,0.23481510077053064,0.12977063892015758,0.03333079651829652,0.8525585383480432,0.10309278350515463
cluster,train,C2,141,0.3667482311887567,0.18413981565638343,0.1329056708470408,0.863734970306961,0.2127659574468085
cluster,validation,C1,51,0.2504260638285871,0.13768289199568007,0.04724239710452945,0.5223275209455895,0.13725490196078433
cluster,validation,C2,16,0.4736395291789949,0.1199594781087675,0.33929561937870323,0.596954300383619,0.1875
