segment_id,event_id,event_start,region_id,highway,log_length_meters,oneway,sinuosity,bearing_sin,bearing_cos,vertex_count,prior_exposure_count,prior_exposure_frequency,prior_observed_events,years_since_prior_positive,target,split
osm-gaul2-73705-13315645840-13315645839-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk_link,2.586485022150366,0.0,1.0,0.7424550391269085,-0.6698958985357806,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-13315645840-4967329296-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,5.985041463198835,1.0,1.0000241778699739,0.692872426733201,0.7210601918514467,8.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1512747940-3060906959-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,secondary,7.689315270730571,0.0,1.0165403310526173,-0.09135733951930021,-0.9958181744254095,48.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1512747940-6133942183-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,secondary,6.937793577897261,0.0,1.0082141543439074,-0.27797360142403277,0.960588713712249,24.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1512747940-6349316475-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,6.8171027355298595,0.0,1.000130149514588,-0.9997648481093488,0.021685213508069564,16.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1512747948-3107886769-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,2.5545881729888085,1.0,1.0,0.9989452459700275,-0.0459172685803635,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1512747948-3377380707-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,3.86100335780643,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1565007542-1565007543-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,5.795254997033853,0.0,1.0001487604967276,-0.9974432210164723,0.07146342314978228,4.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1565007542-3088722087-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,7.977771228758889,0.0,1.1420101230415936,0.9999993730377582,0.0011197875202677298,77.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1565007542-3088722165-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,8.065902026827818,0.0,1.0465279944807264,-0.43096716508904614,-0.9023676094669572,71.0,0.0,0.0,0.0,99.0,0,train
